,Datetime,Title,Brief,label,score
0,PHÂN TÍCH KỸ THUẬT 1 giờ trước,Phân tích kỹ thuật phiên chiều 01/07: Tín hiệu rủi ro xuất hiện,VN-Index và HNX-Index đồng loạt mở cửa giảm điểm nhẹ cùng với sự sụt giảm khối lượng giao dịch trong phiên sáng cho thấy tâm lý nhà đầu tư khá bi...,Neutral,0.29021015763282776
1,PHÂN TÍCH KỸ THUẬT 4 giờ trước,Ngày 01/07/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BID, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.5586346387863159
2,PHÂN TÍCH KỸ THUẬT 30/06 13:39,Phân tích kỹ thuật phiên chiều 30/06: Thị trường bắt đầu phân hóa,VN-Index và HNX-Index đồng loạt mở cửa tăng điểm nhẹ cùng với sự cải thiện khối lượng giao dịch trong phiên sáng cho thấy tâm lý nhà đầu tư khá lạc...,Very Negative,0.337553471326828
3,PHÂN TÍCH KỸ THUẬT 30/06 10:00,Tuần 30/06-04/07/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BID, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.5728415846824646
4,PHÂN TÍCH KỸ THUẬT 29/06 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 30/06-04/07/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.47506964206695557
5,PHÂN TÍCH KỸ THUẬT 27/06 13:14,Phân tích kỹ thuật phiên chiều 27/06: Tín hiệu rủi ro bắt đầu xuất hiện,VN-Index và HNX-Index đồng loạt mở cửa tăng điểm nhẹ cùng với chưa có sự cải thiện rõ ràng trong khối lượng giao dịch cho thấy tâm lý thận trọng của...,Very Negative,0.28261786699295044
6,PHÂN TÍCH KỸ THUẬT 26/06 13:33,Phân tích kỹ thuật phiên chiều 26/06: Tâm lý thận trọng vẫn hiện hữu,VN-Index và HNX-Index đồng loạt mở cửa giảm điểm nhẹ trong bối cảnh chỉ báo ADX duy trì mức thấp cho thấy diễn biến đi ngang với các phiên tăng giảm...,Neutral,0.3648037612438202
7,PHÂN TÍCH KỸ THUẬT 26/06 10:00,Ngày 26/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BID, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.6081831455230713
8,PHÂN TÍCH KỸ THUẬT 25/06 13:30,Phân tích kỹ thuật phiên chiều 25/06: Tâm lý phân vân bao trùm thị trường,VN-Index và HNX-Index đồng loạt mở cửa tăng điểm cùng với khối lượng giao dịch chưa có cải thiện rõ ràng trong phiên cho thấy tâm lý phân vân của nhà...,Neutral,0.30025145411491394
9,PHÂN TÍCH KỸ THUẬT 24/06 13:48,Phân tích kỹ thuật phiên chiều 24/06: Tín hiệu tích cực xuất hiện,VN-Index và HNX-Index đồng loạt mở cửa tăng điểm với sự gia tăng khối lượng giao dịch trong phiên sáng cho thấy tâm lý khá lạc quan của nhà đầu tư.,Very Negative,0.24674056470394135
10,PHÂN TÍCH KỸ THUẬT 24/06 10:00,Ngày 24/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: CTD, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.5852391719818115
11,PHÂN TÍCH KỸ THUẬT 23/06 13:36,Phân tích kỹ thuật phiên chiều 23/06: Trạng thái giằng co trong phiên,VN-Index và HNX-Index đồng loạt mở cửa giảm nhẹ với sự gia tăng khối lượng giao dịch trong phiên sáng cho thấy xu hướng của thị trường vẫn chưa thiết...,Neutral,0.2977842688560486
12,PHÂN TÍCH KỸ THUẬT 23/06 10:00,Tuần 23-27/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: CTD, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.3875126242637634
13,NHẬN ĐỊNH - PHÂN TÍCH 22/06 09:02,Báo cáo Tiền ảo tháng 6/2025 (Kỳ 2): Giằng co trong ngắn hạn,Phân tích và nhận định xu hướng của các đồng tiền ảo quan trọng được nhiều nhà đầu tư quan tâm. Các phân tích dưới đây có thể phục vụ cho mục đích...,Neutral,0.39741867780685425
14,PHÂN TÍCH KỸ THUẬT 22/06 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 23-27/06/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.5041389465332031
15,PHÂN TÍCH KỸ THUẬT 20/06 13:27,Phân tích kỹ thuật phiên chiều 20/06: Tâm lý khá bi quan đang hiện hữu,VN-Index và HNX-Index đồng loạt mở cửa giảm điểm kèm với sự gia tăng khối lượng giao dịch trong phiên sáng cho thấy tâm lý khá bi quan của nhà đầu tư...,Neutral,0.3982853889465332
16,PHÂN TÍCH KỸ THUẬT 19/06 13:41,Phân tích kỹ thuật phiên chiều 19/06: Diễn biến giằng co tiếp diễn,VN-Index và HNX-Index mở cửa giảm điểm kèm với sự sụt giảm nhẹ trong khối lượng giao dịch cho thấy tâm lý phân vân của nhà đầu tư tại các mức kháng...,Neutral,0.29499828815460205
17,PHÂN TÍCH KỸ THUẬT 19/06 10:00,Ngày 19/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: CTD, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.5952691435813904
18,PHÂN TÍCH KỸ THUẬT 18/06 13:14,Phân tích kỹ thuật phiên chiều 18/06: Tâm lý thận trọng bao trùm thị trường,VN-Index và HNX-Index mở cửa tăng giảm điểm trái chiều kèm với sự sụt giảm nhẹ trong khối lượng giao dịch cho thấy tâm lý phân vân của nhà đầu tư tại...,Very Positive,0.28158894181251526
19,PHÂN TÍCH KỸ THUẬT 17/06 15:01,Phân tích kỹ thuật phiên chiều 17/06: Trạng thái giằng co vẫn tiếp diễn,VN-Index và HNX-Index mở cửa đồng loạt tăng điểm kèm với sự tăng nhẹ trong khối lượng giao dịch cho thấy tâm lý lạc quan trong ngắn hạn của nhà đầu...,Neutral,0.2608097791671753
20,PHÂN TÍCH KỸ THUẬT 17/06 10:00,Ngày 17/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.602697491645813
21,PHÂN TÍCH KỸ THUẬT 16/06 13:01,Phân tích kỹ thuật phiên chiều 16/06: Tâm lý phân vân bao trùm thị trường,VN-Index và HNX-Index đồng loạt tăng điểm kèm với sự sụt giảm nhẹ của thanh khoản trong phiên sáng cho thấy tâm lý thận trọng của nhà đầu tư.,Neutral,0.29532480239868164
22,PHÂN TÍCH KỸ THUẬT 16/06 10:00,Tuần 16-20/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.4060119390487671
23,PHÂN TÍCH KỸ THUẬT 15/06 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 16-20/06/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.5123262405395508
24,NHẬN ĐỊNH - PHÂN TÍCH 14/06 10:02,Báo cáo Tiền ảo tháng 6/2025 (Kỳ 1): BTC thử thách đỉnh cao mọi thời đại,Phân tích và nhận định xu hướng của các đồng tiền ảo quan trọng được nhiều nhà đầu tư quan tâm. Các phân tích dưới đây có thể phục vụ cho mục đích...,Very Positive,0.31978118419647217
25,PHÂN TÍCH KỸ THUẬT 13/06 13:24,Phân tích kỹ thuật phiên chiều 13/06: Tín hiệu rủi ro bắt đầu xuất hiện,VN-Index và HNX-Index đồng loạt giảm điểm nhẹ đi kèm thanh khoản có sự gia tăng trong phiên sáng cho thấy tâm lý không mấy tích cực của nhà đầu tư.,Very Negative,0.28914153575897217
26,PHÂN TÍCH KỸ THUẬT 12/06 14:05,Phân tích kỹ thuật phiên chiều 12/06: Trạng thái giằng co vẫn tiếp diễn,VN-Index và HNX-Index đồng loạt tăng điểm nhẹ kèm với thanh khoản có sự cải thiện rõ ràng trong phiên sáng cho thấy tâm lý nhà đầu tư tiếp tục thận...,Neutral,0.2814018726348877
27,PHÂN TÍCH KỸ THUẬT 12/06 10:00,Ngày 12/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VHC, VCB.",Very Negative,0.568671464920044
28,PHÂN TÍCH KỸ THUẬT 11/06 17:30,Phân tích kỹ thuật phiên chiều 11/06: Trạng thái giằng co tiếp diễn,VN-Index và HNX-Index tăng giảm trái chiều đồng thời hình thành mẫu hình nến Doji thân nhỏ kèm với thanh khoản chưa có sự cải thiện rõ ràng trong...,Neutral,0.30399075150489807
29,PHÂN TÍCH KỸ THUẬT 10/06 13:40,Phân tích kỹ thuật phiên chiều 10/06: Tâm lý thận trọng vẫn còn,VN-Index và HNX-Index đồng loạt tăng điểm nhẹ tuy vậy khối lượng giao dịch vẫn ở mức thấp cho thấy tâm lý thận trọng của nhà đầu tư.,Neutral,0.4130648672580719
30,PHÂN TÍCH KỸ THUẬT 10/06 10:00,Ngày 10/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5711789727210999
31,PHÂN TÍCH KỸ THUẬT 09/06 13:06,Phân tích kỹ thuật phiên chiều 09/06: Tâm lý thận trọng xuất hiện,VN-Index và HNX-Index đồng loạt giảm điểm nhẹ kèm theo khối lượng có sự sụt giảm trong phiên sáng thể hiện tâm lý khá thận trọng của nhà đầu tư.,Neutral,0.35351505875587463
32,PHÂN TÍCH KỸ THUẬT 09/06 10:00,Tuần 09-13/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.4415988028049469
33,PHÂN TÍCH KỸ THUẬT 08/06 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 09-13/06/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.46303266286849976
34,PHÂN TÍCH KỸ THUẬT 06/06 13:11,Phân tích kỹ thuật phiên chiều 06/06: Tâm lý bi quan dần xuất hiện,VN-Index và HNX-Index đồng loạt giảm điểm kèm theo khối lượng có sự gia tăng trong phiên sáng thể hiện tâm lý khá bi quan của nhà đầu tư.,Neutral,0.30151405930519104
35,PHÂN TÍCH KỸ THUẬT 05/06 13:04,Phân tích kỹ thuật phiên chiều 05/06: Chưa thoát khỏi thế giằng co,VN-Index và HNX-Index tăng giảm trái chiều kèm theo khối lượng có sự trồi sụt thất thường trong các phiên gần đây thể hiện tâm lý thiếu ổn định của...,Very Negative,0.3465516269207001
36,PHÂN TÍCH KỸ THUẬT 05/06 10:00,Ngày 05/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, DBC, DGW, DIG, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5736037492752075
